,Ether_dst,Ether_src,IP_id,IP_len,IP_proto,IP_ttl,TCP_dataofs,TCP_dport,TCP_flags,TCP_seq,TCP_sport,TCP_window,load_len
2974,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21192.0,1436.0,tcp,57.0,8.0,57006.0,A,1756624749.0,80.0,338.0,4057.0
2975,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21193.0,1436.0,tcp,57.0,8.0,57006.0,A,1756626133.0,80.0,338.0,4002.0
2976,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21194.0,1436.0,tcp,57.0,8.0,57006.0,A,1756627517.0,80.0,338.0,3900.0
2977,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21195.0,1436.0,tcp,57.0,8.0,57006.0,A,1756628901.0,80.0,338.0,4009.0
2978,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21196.0,1436.0,tcp,57.0,8.0,57006.0,A,1756630285.0,80.0,338.0,3979.0
2979,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21197.0,1436.0,tcp,57.0,8.0,57006.0,A,1756631669.0,80.0,338.0,3930.0
2980,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21198.0,1436.0,tcp,57.0,8.0,57006.0,A,1756633053.0,80.0,338.0,3928.0
2981,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21199.0,1436.0,tcp,57.0,8.0,57006.0,A,1756634437.0,80.0,338.0,3972.0
2982,e0:55:3d:02:41:21,78:28:ca:03:80:0c,16429.0,52.0,tcp,64.0,8.0,80.0,A,1492503581.0,57006.0,1673.0,
2983,e0:55:3d:02:41:21,78:28:ca:03:80:0c,16430.0,52.0,tcp,64.0,8.0,80.0,A,1492503581.0,57006.0,1673.0,
2984,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21200.0,1436.0,tcp,57.0,8.0,57006.0,A,1756635821.0,80.0,338.0,4034.0
2985,e0:55:3d:02:41:21,78:28:ca:03:80:0c,16431.0,52.0,tcp,64.0,8.0,80.0,A,1492503581.0,57006.0,1673.0,
2986,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21201.0,1436.0,tcp,57.0,8.0,57006.0,A,1756637205.0,80.0,338.0,3972.0
2987,e0:55:3d:02:41:21,78:28:ca:03:80:0c,16432.0,52.0,tcp,64.0,8.0,80.0,A,1492503581.0,57006.0,1673.0,
2988,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21202.0,1436.0,tcp,57.0,8.0,57006.0,A,1756638589.0,80.0,338.0,3962.0
2989,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21203.0,1436.0,tcp,57.0,8.0,57006.0,A,1756639973.0,80.0,338.0,4049.0
2990,e0:55:3d:02:41:21,78:28:ca:03:80:0c,16433.0,52.0,tcp,64.0,8.0,80.0,A,1492503581.0,57006.0,1673.0,
2991,e0:55:3d:02:41:21,78:28:ca:03:80:0c,16434.0,52.0,tcp,64.0,8.0,80.0,A,1492503581.0,57006.0,1673.0,
2992,e0:55:3d:02:41:21,78:28:ca:03:80:0c,16435.0,52.0,tcp,64.0,8.0,80.0,A,1492503581.0,57006.0,1667.0,
2993,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21204.0,1436.0,tcp,57.0,8.0,57006.0,A,1756641357.0,80.0,338.0,3958.0
2994,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21205.0,1436.0,tcp,57.0,8.0,57006.0,A,1756642741.0,80.0,338.0,3913.0
2995,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21206.0,1436.0,tcp,57.0,8.0,57006.0,A,1756644125.0,80.0,338.0,4011.0
2996,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21207.0,1436.0,tcp,57.0,8.0,57006.0,A,1756645509.0,80.0,338.0,3889.0
2997,e0:55:3d:02:41:21,78:28:ca:03:80:0c,16436.0,52.0,tcp,64.0,8.0,80.0,A,1492503581.0,57006.0,1667.0,
2998,e0:55:3d:02:41:21,78:28:ca:03:80:0c,16437.0,52.0,tcp,64.0,8.0,80.0,A,1492503581.0,57006.0,1667.0,
2999,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21208.0,1436.0,tcp,57.0,8.0,57006.0,A,1756646893.0,80.0,338.0,3936.0
3000,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21209.0,1436.0,tcp,57.0,8.0,57006.0,A,1756648277.0,80.0,338.0,4040.0
3001,e0:55:3d:02:41:21,78:28:ca:03:80:0c,16438.0,52.0,tcp,64.0,8.0,80.0,A,1492503581.0,57006.0,1667.0,
3002,e0:55:3d:02:41:21,78:28:ca:03:80:0c,16439.0,52.0,tcp,64.0,8.0,80.0,A,1492503581.0,57006.0,1667.0,
3003,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21210.0,1436.0,tcp,57.0,8.0,57006.0,A,1756649661.0,80.0,338.0,3981.0
3004,e0:55:3d:02:41:21,78:28:ca:03:80:0c,16440.0,52.0,tcp,64.0,8.0,80.0,A,1492503581.0,57006.0,1657.0,
3005,78:28:ca:03:80:0c,e0:55:3d:02:41:21,21211.0,1436.0,tcp,57.0,8.0,57006.0,A,1756651045.0,80.0,338.0,3970.0
